Fraudolent,SMS test,ID,Date and Time
0,alright. Thanks for the advice. Enjoy your night out. I'ma try to get some sleep...,JV3DVK2,2016-05-20
0,Aaooooright are you at work?,QBRA8C8,2017-02-13
0,Wake me up at  &lt;#&gt;  am morning:),SZJRLOS,2017-10-31
0,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,5MLSIR8,2017-05-08
0,I called and said all to him:)then he have to choose this future.,0ELCU1Z,2016-10-12
0,Probably gonna swing by in a wee bit,YKVJ2UM,2017-09-10
0,"Hey babe, how's it going ? Did you ever figure out where your going for New Years ?",4AXKL6H,2018-08-31
0,Hahaha..use your brain dear,CWQAP2Q,2017-01-22
0,Meeting u is my work. . . Tel me when shall i do my work tomorrow,34D6LY7,2016-06-02
0,Have you not finished work yet or something?,5MAASRW,2018-08-31
1,Urgent! Please call 09061213237 from landline. £5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE PO Box 177. M227XY. 150ppm. 16+,KBT3BE1,2018-01-18
0,Wot is u up 2 then bitch?,TA39NPC,2018-06-08
0,He fucking chickened out. He messaged me he would be late and woould buzz me and then I didn't hear a word from him,U6DBLWP,2017-01-21
0,Me too! Have a lovely night xxx,1EJ440H,2016-11-15
0,But you were together so you should be thinkin about him,LEV0V11,2017-09-15
0,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light,JPLPAKX,2017-11-01
0,"&lt;#&gt; , that's all? Guess that's easy enough",E77OW11,2018-02-14
1,"Congratulations! Thanks to a good friend U have WON the £2,000 Xmas prize. 2 claim is easy, just call 08718726978 NOW! Only 10p per minute. BT-national-rate",X5E2WHX,2016-11-30
0,So how's the weather over there?,PIQ3SFD,2017-09-06
0,Good words.... But words may leave u in dismay many times.,1NWB06F,2017-07-07
0,Olol i printed out a forum post by a guy with the exact same  prob which was fixed with a gpu replacement. Hopefully they dont ignore that.,55H1JA3,2017-11-07
0,"Very hurting n meaningful lines ever: ""I compromised everything for my love, But at d end my love compromised me for everything:-("".. Gud mornin:-)",AM0U7QH,2016-10-12
0,"Idk. You keep saying that you're not, but since he moved, we keep butting heads over freedom vs. responsibility. And i'm tired. I have so much other shit to deal with that i'm barely keeping myself together once this gets added to it.",QIZG1Y0,2017-06-18
0,Watching tv lor...,OBDGFX9,2017-05-21
0,Our ride equally uneventful - not too many of those pesky cyclists around at that time of night ;).,64JGEQ0,2016-02-24
0,There r many model..sony ericson also der.. &lt;#&gt; ..it luks good bt i forgot modl no,EUXT6KS,2018-04-24
0,Should i send you naughty pix? :),6BRVPA9,2016-08-20
0,I can send you a pic if you like :),EPIAD9Y,2018-08-11
0,"Guy, no flash me now. If you go call me, call me. How madam. Take care oh.",RWYGI71,2017-12-05
0,Then ü come n pick me at 530 ar?,I9D0IBR,2018-09-09
0,Hi dis is yijue i would be happy to work wif ü all for gek1510...,4GGVXVE,2016-04-27
0,Realy sorry-i don't recognise this number and am now confused :) who r u please?!,7NQF2GC,2017-12-26
1,Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz,CPJI52S,2018-06-10
0,So wat's da decision?,5PK89ZA,2017-08-17
0,K tell me anything about you.,25QF5UH,2017-09-10
0,"Yeah I should be able to, I'll text you when I'm ready to meet up",FR6GMZZ,2018-08-21
0,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",JTGMSH3,2018-04-26
0,Already one guy loving you:-.,IMZ0KI7,2016-11-28
1,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,YU82WHX,2017-04-18
0,Hey.. Something came up last min.. Think i wun be signing up tmr.. Hee,CN4TAE3,2018-05-08
1,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.,B9828N8,2018-06-30
0,S:-)kallis wont play in first two odi:-),N8RCMRB,2016-09-02
0,Ok. There may be a free gym about.,JB7TT72,2017-11-24
0,it's still not working. And this time i also tried adding zeros. That was the savings. The checking is  &lt;#&gt;,SHN58SD,2017-08-19
0,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m...",OX8YXHO,2016-12-30
0,Thanx a lot 4 ur help!,VX59QMK,2018-03-27
0,What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.,6G2E3OO,2017-04-21
0,How much did ur hdd casing cost.,UYUP5PE,2017-09-18
0,Is there any training tomorrow?,IOIE4VK,2018-08-23
0,Well i will watch shrek in 3D!!B),E6PX7Z6,2016-05-11
0,Watching tv lor. Nice one then i like lor.,0RQJTWC,2016-11-21
1,Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468,P3CR7PB,2016-10-20
0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,TKEVWUT,2018-08-17
0,Great. P diddy is my neighbor and comes for toothpaste every morning,HZ9H791,2018-03-02
0,"Ever green quote ever told by Jerry in cartoon ""A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt",4KXFFNM,2017-08-11
0,Beerage?,8MCTLJR,2016-07-24
0,All day working day:)except saturday and sunday..,SJJPEMF,2016-12-27
1,"U can WIN £100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.Idew.com SkillGame, 1Winaweek, age16. 150ppermessSubscription",JX4BKU1,2017-03-24
0,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,UL905PI,2018-04-21
0,"Sorry, I can't help you on this.",A9R3SL1,2017-02-27
0,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",29UZNGY,2018-04-29
0,Going to take your babe out ?,0N5SFTV,2016-05-26
0,Guessin you ain't gonna be here before 9?,PF9RFU9,2018-04-16
0,"No, I decided that only people who care about stuff vote and caring about stuff is for losers",EOP0YQ7,2016-12-23
0,What time should I tell my friend to be around?,3SCQGJM,2018-05-31
0,Hello! Good week? Fancy a drink or something later?,O0IQVK1,2017-08-29
0,Yes :)it completely in out of form:)clark also utter waste.,U7ZMCKQ,2018-08-02
0,"I am in tirupur da, once you started from office call me.",18WMU5L,2018-08-27
0,Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side,Q6K6C6H,2018-05-26
0,I'm still pretty weak today .. Bad day ?,E9NIUN0,2017-05-14
0,Which channel:-):-):):-).,WNRSOUB,2017-11-25
0,Ok lor thanx... Ü in school?,JET7RZU,2018-08-03
0,"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL",48BCU3C,2017-11-28
0,I have many dependents,KERUGMK,2016-11-10
0,You give us back my id proof and  &lt;#&gt;  rs. We wont allow you to work. We will come to your home within days,AC5QA7G,2018-04-12
1,Free Msg: Ringtone!From: http://tms. widelive.com/index. wml?id=1b6a5ecef91ff9*37819&first=true18:0430-JUL-05,WBMA6CB,2018-04-04
0,Or u ask they all if next sat can a not. If all of them can make it then i'm ok lor.,JLFZJ0W,2018-05-01
0,"Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace.",XDIQ17G,2016-10-23
0,You sure your neighbors didnt pick it up,4JPAWB4,2017-11-09
0,happened here while you were adventuring,TMORJ37,2018-06-25
0,WHEN THE FIRST STRIKE IS A RED ONE. THE BIRD + ANTELOPE BEGIN TOPLAY IN THE FIELDOF SELFINDEPENDENCE BELIEVE THIS + THE FLOWER OF CONTENTION WILL GROW.RANDOM!,JHL375B,2018-03-25
0,Dont know supports ass and srt i thnk. I think ps3 can play through usb too,DYLQ2J5,2018-03-18
0,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",WP8US05,2016-11-29
0,HI ITS JESS I DONT KNOW IF YOU ARE AT WORK BUT CALL ME WHEN U CAN IM AT HOME ALL EVE. XXX,D4E60S9,2017-03-19
1,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call",VMP7W38,2016-07-18
0,Ok...,MG00TF3,2017-09-18
0,Haha... Yup hopefully  we will lose a few kg by mon. after hip hop can go orchard and weigh again,E3118ZE,2018-07-10
0,Alrite jod hows the revision goin? Keris bin doin a smidgin. N e way u wanna cum over after college?xx,95138CJ,2016-12-31
0,Are your freezing ? Are you home yet ? Will you remember to kiss your mom in the morning? Do you love me ? Do you think of me ? Are you missing me yet ?,LEDVWCJ,2018-05-03
0,Tell dear what happen to you. Why you talking to me like an alian,EITSGYZ,2016-09-28
0,Good evening! this is roger. How are you?,PWQZUDR,2017-04-30
0,Okie.. Thanx..,VDIVELO,2016-04-19
1,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,B6ABTDF,2016-11-27
0,I liked the new mobile,UV0Q4XV,2018-06-15
0,Erutupalam thandiyachu,BAYH5AM,2017-10-18
0,Jason says it's cool if we pick some up from his place in like an hour,7QUE99X,2017-11-22
1,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,5RY6BV6,2018-03-19
0,Yup i'm elaborating on the safety aspects and some other issues..,UUVL3U5,2018-02-03
0,Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...,05A5OO0,2016-06-26
0,"The guy at the car shop who was flirting with me got my phone number from the paperwork and called and texted me. I'm nervous because of course now he may have my address. Should i call his boss and tell him, knowing this may get him fired?",32A82KV,2018-06-09
0,Yes just finished watching days of our lives. I love it.,C1Z8XY9,2018-04-23
0,U studying in sch or going home? Anyway i'll b going 2 sch later.,AYKMO6O,2018-04-07
0,An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-),CMCC0YD,2016-09-06
0,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.,RODP21C,2018-04-02
0,Dear where you will be when i reach there,ECHOG02,2016-05-02
0,"Hi this is yijue, can i meet u at 11 tmr?",W4PLDMM,2018-04-09
0,"Think i might have to give it a miss. Am teaching til twelve, then have lecture at two. Damn this working thing.",KPVM1KN,2016-08-27
0,Only saturday and sunday holiday so its very difficult:),7GJTGGX,2017-08-02
0,Tomarrow i want to got to court. At  &lt;DECIMAL&gt; . So you come to bus stand at 9.,YO9078O,2018-07-10
1,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!",DTGI7BR,2018-01-11
0,Oh ok wait 4 me there... My lect havent finish,YCKN7MH,2016-11-07
0,No problem. How are you doing?,PWMJTV6,2016-06-19
0,Are you available for soiree on June 3rd?,BNXEOAJ,2017-06-09
1,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622",VUTL1FG,2018-02-08
0,A lot of this sickness thing going round. Take it easy. Hope u feel better soon. Lol,4UPVLJ4,2017-02-26
0,Ok... I din get ur msg...,4N2I4MZ,2016-11-04
0,Mathews or tait or edwards or anderson,POJHRBK,2017-05-20
0,I tagged MY friends that you seemed to count as YOUR friends.,YSI0GGC,2017-01-20
0,Got it..mail panren paru..,WAAMCPQ,2017-02-28
0,"I know where the  &lt;#&gt;  is, I'll be there around 5",4MFM51U,2018-04-14
1,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop",HM6NF0D,2018-03-31
0,Watching tv now. I got new job :),VQ04IWA,2016-04-08
1,You have 1 new voicemail. Please call 08719181503,USVUWY8,2016-09-13
0,This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again!,YCTCFUD,2018-09-13
0,Let there be snow. Let there be snow. This kind of weather brings ppl together so friendships can grow.,OKFC9TK,2018-01-03
0,No probs hon! How u doinat the mo?,4DWF8LF,2016-02-29
0,Just re read it and I have no shame but tell me how he takes it and if he runs I will blame u 4 ever!! Not really 4 ever just a long time,JT9N24O,2018-03-28
0,"Goodmorning, today i am late for  &lt;DECIMAL&gt; min.",4DQBM11,2017-12-13
0,I had it already..sabarish asked me to go..,7PW26J5,2017-08-04
1,Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call 08701213186.,64WP91A,2018-08-11
0,"I'm a guy, browsin is compulsory",TQ6LKWB,2016-12-06
0,All will come alive.better correct any good looking figure there itself..,Y2HK2MK,2017-11-08
0,"I'd say that's a good sign but, well, you know my track record at reading women",6XJ5Y8D,2018-01-28
1,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04,4499HU4,2016-10-25
0,"Hey babe, my friend had to cancel, still up for a visit ?",MRA8RWJ,2016-05-08
0,Hope you are having a good week. Just checking in,M40F9T0,2017-04-19
0,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",1AZRZ0N,2016-04-28
0,Ok.ok ok..then..whats ur todays plan,26O5N9L,2017-04-22
0,Lol please do. Actually send a pic of yourself right now. I wanna see. Pose with a comb and hair dryer or something.,7CPHYVD,2016-11-28
0,Call me when you get the chance plz &lt;3,63PNBWH,2016-08-24
0,"K, my roommate also wants a dubsack and another friend may also want some so plan on bringing extra, I'll tell you when they know for sure",HEQSV56,2016-06-27
0,That's good. Lets thank God. Please complete the drug. Have lots of water. And have a beautiful day.,WLGKPJP,2016-03-30
0,"I didnt get ur full msg..sometext is missing, send it again",B9ZZ9D4,2017-09-25
0,Honey boo I'm missing u.,OT7XU1H,2017-11-27
0,Where r e meeting tmr?,ELC5RHU,2018-03-08
0,Happy New Year Princess!,V27J8CX,2018-09-08
0,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",PUDMYVR,2017-09-29
0,Shall i ask one thing if you dont mistake me.,L0TZYRQ,2016-12-17
1,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56,W6QAWV6,2017-03-20
0,I was slept that time.you there?,O90J57X,2017-03-09
0,We still on for tonight?,C0YCUB1,2017-11-24
0,"Ola would get back to you maybe not today but I ve told him you can be his direct link in the US in getting cars he bids for online, you arrange shipping and you get a cut. Or U????? For a partnership where U????? Invest money for shipping and he takes care of the rest!U??Wud b self reliant soon dnt worry",9XL3BLY,2016-09-05
0,Yep. I do like the pink furniture tho.,T41QECF,2018-09-16
0,"Trust me. Even if isn't there, its there.",MWZT0IP,2016-04-17
0,I am sorry it hurt you.,8QCJV11,2018-08-17
0,Try neva mate!!,NT9SO16,2016-12-20
0,Nah dub but je still buff,1Y7QVOX,2016-04-22
0,"Im cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! Take care & spk sn x.",H9X3LL1,2016-03-03
0,"Goodmorning, today i am late for 1hr.",4RE5S20,2018-01-13
0,Why tired what special there you had,R2WEUTF,2018-04-26
0,Yes princess! I want to make you happy...,4NQVYYN,2018-02-05
0,Kay... Since we are out already,W7S19RV,2017-09-13
0,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob,MOP72NP,2016-06-11
0,Do have a nice day today. I love you so dearly.,7NMEHVB,2017-06-03
0,Don know. I did't msg him recently.,YKTVKN6,2018-01-02
0,K.k.this month kotees birthday know?,KRDP5BA,2018-04-13
1,WIN a £200 Shopping spree every WEEK Starting NOW. 2 play text STORE to 88039. SkilGme. TsCs08714740323 1Winawk! age16 £1.50perweeksub.,1ZEUBLP,2016-03-21
0,Get ready for  &lt;#&gt;  inches of pleasure...,0UFTBBS,2018-05-24
0,Imagine Life WITHOUT ME... see.. How fast u are searching me?Don't worry.. l'm always there To disturb U.. Goodnoon..:),PVOYVLQ,2016-12-01
0,You still coming tonight?,563J4K0,2017-01-03
0,* You gonna ring this weekend or wot?,DYE40VT,2017-04-09
0,Oops I was in the shower when u called. Hey a parking garage collapsed at university hospital. See I'm not crazy. Stuff like that DOES happen.,A36MNX4,2016-08-26
1,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of£2000 CASH 18+only. To opt out txt X to 07786200117,X75SQEG,2017-07-10
0,hi baby im sat on the bloody bus at the mo and i wont be home until about 7:30 wanna do somethin later? call me later ortxt back jess xx,8AIXJEC,2016-11-10
0,Have you been practising your curtsey?,Q5D688Z,2017-08-17
0,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",45XC9ZJ,2016-06-01
0,on hen night. Going with a swing,WPEI1JF,2016-12-15
0,Also are you bringing galileo or dobby,VQAUN8S,2018-08-15
0,am up to my eyes in philosophy,6LOIA1N,2017-02-07
0,Ok cool. See ya then.,BE88GFP,2016-10-01
0,"Sorry man, my stash ran dry last night and I can't pick up more until sunday",PRIPNQU,2017-10-08
0,"It's ok, at least armand's still around",0JUFNBM,2017-02-03
0,I only haf msn. It's yijue@hotmail.com,PUMEJVZ,2016-06-15
1,"Gr8 Poly tones 4 ALL mobs direct 2u rply with POLY TITLE to 8007 eg POLY BREATHE1 Titles: CRAZYIN, SLEEPINGWITH, FINEST, YMCA :getzed.co.uk POBox365O4W45WQ 300p",K59MPMZ,2018-05-08
0,Aiyo please ü got time meh.,MKYQNQU,2017-11-30
0,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us",MSZS8IQ,2017-03-24
0,To day class is there are no class.,I3GIDEP,2018-09-13
0,Went fast asleep dear.take care.,N3S6O33,2016-10-13
0,Y dun cut too short leh. U dun like ah? She failed. She's quite sad.,DF2QV7O,2016-08-06
0,If you have belive me. Come to my home.,DA9MRR8,2017-12-25
0,"Sorry, I can't help you on this.",COQ515Y,2018-08-16
0,"He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up",NJZC3BG,2018-04-20
0,dont make ne plans for nxt wknd coz she wants us to come down then ok,J0Z8LL5,2016-03-27
0,"Sorry, I'll call later",7QOCCOW,2017-07-16
0,That sucks. I'll go over so u can do my hair. You'll do it free right?,SC5F4L9,2016-12-30
0,Ok. No wahala. Just remember that a friend in need ...,OS0SKDG,2016-08-28
0,Ugh. Gotta drive back to sd from la. My butt is sore.,Y0G27JA,2017-01-05
0,Am going to take bath ill place the key in window:-),7JM4IVG,2017-10-06
0,K go and sleep well. Take rest:-).,U4SI4DT,2017-08-12
0,if you text on your way to cup stop that should work. And that should be BUS,VY3S23C,2016-03-12
0,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD",BP75NKD,2017-02-04
0,Juz now havent woke up so a bit blur blur... Can? Dad went out liao... I cant cum now oso...,V907QEZ,2018-07-28
0,Alright took the morphine. Back in yo.,YVNRBNB,2018-05-21
1,"YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",K93M3YU,2016-10-20
0,Tell them no need to investigate about me anywhere.,SWCV5XF,2016-09-10
0,Haha okay... Today weekend leh...,BRE55EP,2017-06-22
0,So ü'll be submitting da project tmr rite?,CDPR6BT,2017-08-30
0,"THATS ALRITE GIRL, U KNOW GAIL IS NEVA WRONG!!TAKE CARE SWEET AND DONT WORRY.C U L8TR HUN!LOVE Yaxxx",P5BY9XJ,2018-03-09
0,"And how you will do that, princess? :)",L8UNWC3,2018-05-30
0,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,ZMBNL15,2018-01-22
0,Old Orchard near univ. How about you?,ZWCRKKW,2017-07-30
0,"Mon okie lor... Haha, best is cheap n gd food la, ex oso okie... Depends on whether wana eat western or chinese food... Den which u prefer...",R28YLWK,2018-08-01
0,K...k...yesterday i was in cbe .,NMHOXNL,2017-10-07
0,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. take cr da",4YYG85G,2017-01-02
0,At 4. Let's go to bill millers,0CB71FX,2018-06-03
0,I think its far more than that but find out. Check google maps for a place from your dorm.,IT5I0AA,2018-02-03
1,Hi its LUCY Hubby at meetins all day Fri & I will B alone at hotel U fancy cumin over? Pls leave msg 2day 09099726395 Lucy x Calls£1/minMobsmoreLKPOBOX177HP51FL,NMPFDEV,2018-03-15
0,Huh means computational science... Y they like dat one push here n there...,2GXVSF3,2016-08-13
0,Hey hun-onbus goin 2 meet him. He wants 2go out 4a meal but I donyt feel like it cuz have 2 get last bus home!But hes sweet latelyxxx,CFLCACU,2018-07-21
0,Still chance there. If you search hard you will get it..let have a try :),BQ4US5D,2017-06-03
1,2p per min to call Germany 08448350055 from your BT line. Just 2p per min. Check PlanetTalkInstant.com for info & T's & C's. Text stop to opt out,EPOMDHH,2017-08-11
1,Update_Now - 12Mths Half Price Orange line rental: 400mins...Call MobileUpd8 on 08000839402 or call2optout=J5Q,IGNA0C1,2016-08-17
0,The message sent is askin for  &lt;#&gt; dollars. Shoul i pay  &lt;#&gt;  or  &lt;#&gt; ?,IALA31K,2016-06-23
0,"Hiya , have u been paying money into my account? If so, thanks. Got a pleasant surprise when i checked my balance -u c, i don't get statements 4 that acc",D0UUAN2,2017-01-20
